,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME
560,2007,201195,Herbert,Hill,Herbert Hill,C,79.0,6' 7'',81.75,6' 9.75'',232.0,86.25,7' 2.25'',108.5,9' 0.5'',5.6,,,30.5,34.0,12.31,,3.39,15.0,herbert-hill
561,2008,201588,George,Hill,George Hill,PG,73.25,6' 1.25'',74.5,6' 2.5'',181.0,81.0,6' 9'',97.5,8' 1.5'',3.0,,,34.0,37.5,12.2,,3.07,9.0,george-hill
562,2009,201941,Jordan,Hill,Jordan Hill,PF-C,81.25,6' 9.25'',82.25,6' 10.25'',232.4,85.5,7' 1.5'',108.0,9' 0'',6.0,,,31.0,35.0,12.23,,3.3,11.0,jordan-hill
563,2013,203524,Solomon,Hill,Solomon Hill,SF,77.5,6' 5.5'',79.0,6' 7'',226.0,81.0,6' 9'',103.0,8' 7'',7.6,9.0,10.5,29.5,37.5,10.77,2.91,3.19,14.0,solomon-hill
564,2008,12254,Kyle,Hines,Kyle Hines,SF-PF,75.75,6' 3.75'',77.25,6' 5.25'',234.0,85.25,7' 1.25'',104.5,8' 8.5'',3.6,,,28.5,33.0,12.17,,3.4,16.0,kyle-hines
565,2003,2550,Kirk,Hinrich,Kirk Hinrich,PG-SG,74.75,6' 2.75'',,,186.0,78.0,6' 6'',98.5,8' 2.5'',5.3,,,29.0,33.5,10.98,,3.1,10.0,kirk-hinrich
566,2019,1629658,Jalen,Hoard,Jalen Hoard,PF,79.25,6' 7.25'',81.0,6' 9'',212.6,84.75,7' 0.75'',105.5,8' 9.5'',6.7,8.75,9.75,27.5,35.5,11.44,3.32,3.34,8.0,jalen-hoard
567,2010,202359,Darington,Hobson,Darington Hobson,SG-SF,77.25,6' 5.25'',78.5,6' 6.5'',203.6,81.25,6' 9.25'',104.5,8' 8.5'',6.2,8.25,9.0,29.0,34.0,11.68,,3.25,,darington-hobson
568,2005,101125,Julius,Hodge,Julius Hodge,SG-SF,78.0,6' 6'',79.0,6' 7'',202.2,84.5,7' 0.5'',107.5,8' 11.5'',,,,24.5,29.0,10.89,,3.18,14.0,julius-hodge
569,2002,2450,Randy,Holcomb,Randy Holcomb,SF-PF,79.0,6' 7'',,,225.0,85.0,7' 1'',105.0,8' 9'',,,,29.5,35.5,12.85,,3.22,15.0,randy-holcomb
570,2009,201950,Jrue,Holiday,Jrue Holiday,PG-SG,75.25,6' 3.25'',76.25,6' 4.25'',199.0,79.0,6' 7'',100.5,8' 4.5'',6.3,,,28.5,34.0,10.64,,3.21,6.0,jrue-holiday
571,2018,1628988,Aaron,Holiday,Aaron Holiday,PG,71.75,5' 11.75'',72.75,6' 0.75'',187.0,79.5,6' 7.5'',97.0,8' 1'',6.4,8.75,8.5,25.5,33.0,10.96,3.22,3.27,,aaron-holiday
572,2015,1626178,Rondae,Hollis-Jefferson,Rondae Hollis-Jefferson,SF,77.5,6' 5.5'',79.0,6' 7'',210.8,86.0,7' 2'',104.0,8' 8'',5.0,8.75,9.75,32.0,38.0,10.41,3.19,3.12,13.0,rondae-hollis-jefferson
573,2000,12140,Shaheen,Holloway,Shaheen Holloway,PG,69.5,5' 9.5'',,,174.0,70.0,5' 10'',91.0,7' 7'',,,,,,11.22,,3.32,6.0,shaheen-holloway
574,2012,203189,Tu,Holloway,Tu Holloway,PG,70.5,5' 10.5'',71.75,5' 11.75'',186.8,77.5,6' 5.5'',94.5,7' 10.5'',8.5,8.75,10.0,28.0,35.0,11.0,,3.42,12.0,tu-holloway
575,2003,12082,Jerry,Holman,Jerry Holman,PF,80.75,6' 8.75'',,,232.0,87.25,7' 3.25'',109.5,9' 1.5'',6.0,,,33.0,37.5,11.54,,3.24,11.0,jerry-holman
576,2015,1626182,Jonathan,Holmes,Jonathan Holmes,PF-SF,80.25,6' 8.25'',81.25,6' 9.25'',242.2,83.5,6' 11.5'',107.5,8' 11.5'',7.2,8.25,9.5,25.5,31.0,10.95,3.12,3.51,,jonathan-holmes
577,2015,1626158,Richaun,Holmes,Richaun Holmes,PF,80.25,6' 8.25'',81.5,6' 9.5'',242.8,85.5,7' 1.5'',108.0,9' 0'',8.8,8.5,8.5,32.5,36.0,11.24,3.31,3.32,15.0,richaun-holmes
