,Unnamed: 0,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME,season,name,pid,team,g,min,dunks,poss,stl,blk,orb,drb
196,318,2007,12209,Justin,Doellman,Justin Doellman,PF,80.0,6' 8'',81.5,6' 9.5'',205.0,80.75,6' 8.75'',105.0,8' 9'',7.0,,,,,,,,19.0,justin-doellman,2007,justin-doellman,15519,Xavier,17,445,1.86,751,2.66,5.58,6.26,17.54
197,320,2008,201595,Joey,Dorsey,Joey Dorsey,PF-C,78.25,6' 6.25'',79.25,6' 7.25'',265.0,85.75,7' 1.75'',107.0,8' 11'',9.0,,,27.5,33.0,11.84,,3.2,19.0,joey-dorsey,2008,joey-dorsey,22285,Memphis,31,751,2.64,1326,2.49,7.5,17.88,29.35
198,321,2017,1628416,Tyler,Dorsey,Tyler Dorsey,SG,75.0,6' 3'',76.5,6' 4.5'',182.6,77.25,6' 5.25'',99.5,8' 3.5'',4.7,8.5,9.25,30.5,36.0,10.55,2.98,3.16,8.0,tyler-dorsey,2017,tyler-dorsey,3915560,Oregon,31,900,0.19,1575,1.33,0.49,4.14,9.96
199,322,2019,1629652,Luguentz,Dort,Luguentz Dort,PG,74.75,6' 2.75'',76.25,6' 4.25'',222.2,80.5,6' 8.5'',99.5,8' 3.5'',5.0,8.5,9.0,32.5,38.0,10.79,3.13,3.22,14.0,luguentz-dort,2019,luguentz-dort,4397020,Arizona State,31,978,1.96,1782,2.69,0.87,5.21,11.38
200,323,2017,1628422,Damyean,Dotson,Damyean Dotson,SG-SF,76.5,6' 4.5'',77.5,6' 5.5'',205.2,81.0,6' 9'',100.0,8' 4'',5.3,8.5,9.25,31.5,38.0,11.18,3.03,3.13,13.0,damyean-dotson,2017,damyean-dotson,61674,Houston,31,1066,0.39,1772,1.58,0.57,5.56,19.95
201,324,2019,1629653,Devon,Dotson,Devon Dotson,PG,72.0,6' 0'',74.0,6' 2'',178.6,75.25,6' 3.25'',95.5,7' 11.5'',5.9,8.25,9.5,30.0,38.5,10.63,2.8,3.04,7.0,devon-dotson,2019,devon-dotson,4397016,Kansas,34,1103,0.05,1957,2.3,0.51,2.36,10.59
202,325,2020,1629653,Devon,Dotson,Devon Dotson,PG,72.5,6'0.50'',73.7,6'1.75'',185.2,75.0,6'3.00'',95.0,7'11.00'',4.6,8.25,10.0,31.5,40.5,10.44,2.22,3.02,,devon-dotson,2020,devon-dotson,4397016,Kansas,30,1047,0.06,1789,3.52,0.33,2.16,11.69
203,327,2009,201962,Toney,Douglas,Toney Douglas,PG,73.0,6' 1'',74.0,6' 2'',183.4,78.0,6' 6'',97.5,8' 1.5'',5.2,,,28.0,32.5,10.63,,3.03,15.0,toney-douglas,2009,toney-douglas,22111,Florida State,32,1167,0.0,2018,2.82,0.94,3.04,10.03
204,329,2008,12247,Marcus,Dove,Marcus Dove,SF-PF,78.75,6' 6.75'',79.5,6' 7.5'',208.0,83.5,6' 11.5'',105.0,8' 9'',5.3,,,27.5,33.5,11.59,,3.26,10.0,marcus-dove,2008,marcus-dove,15182,Oklahoma State,27,917,0.45,1542,3.18,3.57,6.81,15.15
205,330,2007,12210,Zabian,Dowdell,Zabian Dowdell,PG,73.0,6' 1'',75.0,6' 3'',191.0,82.0,6' 10'',100.0,8' 4'',5.1,,,30.0,33.5,11.13,,3.29,3.0,zabian-dowdell,2007,zabian-dowdell,15439,Virginia Tech,23,793,0.08,1314,3.8,0.55,3.9,10.35
206,331,2017,1628408,PJ,Dozier,PJ Dozier,SG,77.25,6' 5.25'',78.75,6' 6.75'',200.6,83.0,6' 11'',101.0,8' 5'',6.1,8.5,9.5,34.0,39.0,10.84,2.98,3.15,9.0,pj-dozier,2017,pj-dozier,3923250,South Carolina,28,816,0.35,1418,3.46,1.02,4.66,16.68
207,332,2012,203083,Andre,Drummond,Andre Drummond,C,81.75,6' 9.75'',83.75,6' 11.75'',278.6,90.25,7' 6.25'',109.5,9' 1.5'',7.5,9.5,9.5,31.5,33.5,10.83,,3.39,10.0,andre-drummond,2012,andre-drummond,57279,UConn,9,247,3.99,401,1.5,11.23,22.25,14.64
208,334,2007,201162,Jared,Dudley,Jared Dudley,SF,77.0,6' 5'',79.25,6' 7.25'',219.0,79.0,6' 7'',102.0,8' 6'',7.1,,,28.0,32.0,11.32,,3.45,14.0,jared-dudley,2007,jared-dudley,17911,Boston College,22,855,0.35,1420,1.9,0.98,11.75,17.81
209,336,2008,12248,Josh,Duncan,Josh Duncan,PF,80.0,6' 8'',81.0,6' 9'',230.0,83.5,6' 11.5'',104.5,8' 8.5'',5.4,,,28.0,32.0,12.47,,3.26,26.0,josh-duncan,2008,josh-duncan,22186,Xavier,32,695,0.61,1146,1.31,3.24,7.85,18.93
210,339,2011,12407,LaceDarius,Dunn,LaceDarius Dunn,SG,75.0,6' 3'',76.0,6' 4'',187.8,78.25,6' 6.25'',101.0,8' 5'',5.5,9.0,10.25,26.5,31.0,11.45,,3.27,3.0,lacedarius-dunn,2011,lacedarius-dunn,36165,Baylor,22,776,0.15,1292,2.71,0.0,2.92,11.9
211,343,2007,201142,Kevin,Durant,Kevin Durant,SF-PF,81.0,6' 9'',82.25,6' 10.25'',215.0,88.75,7' 4.75'',110.0,9' 2'',6.6,,,26.0,33.5,12.33,,3.45,0.0,kevin-durant,2007,kevin-durant,31579,Texas,32,1137,2.04,2009,2.99,5.83,10.39,26.3
212,344,2018,1628979,Trevon,Duval,Trevon Duval,PG,73.5,6' 1.5'',74.5,6' 2.5'',191.0,80.25,6' 8.25'',97.5,8' 1.5'',5.2,8.75,10.0,34.0,41.5,10.93,3.09,3.18,6.0,trevon-duval,2018,trevon-duval,4277842,Duke,33,966,0.63,1735,2.94,0.51,2.64,5.53
213,345,2014,203921,Cleanthony,Early,Cleanthony Early,SF,78.0,6' 6'',79.25,6' 7.25'',209.4,82.75,6' 10.75'',101.5,8' 5.5'',4.45,8.5,9.0,34.0,40.0,11.15,2.96,3.18,,cleanthony-early,2014,cleanthony-early,62186,Wichita State,31,859,1.21,1404,1.85,3.56,6.18,21.37
214,346,2010,202365,Devin,Ebanks,Devin Ebanks,SF,79.0,6' 7'',80.25,6' 8.25'',207.8,84.25,7' 0.25'',107.5,8' 11.5'',7.9,8.25,9.0,23.5,32.0,11.69,,3.44,6.0,devin-ebanks,2010,devin-ebanks,41840,West Virginia,29,983,0.51,1580,1.84,2.3,10.77,20.4
215,350,2018,1629035,Carsen,Edwards,Carsen Edwards,PG,70.75,5' 10.75'',72.0,6' 0'',195.6,78.25,6' 6.25'',94.5,7' 10.5'',6.3,8.5,9.25,28.5,34.5,11.59,3.15,3.2,12.0,carsen-edwards,2018,carsen-edwards,4066407,Purdue,33,977,0.24,1678,2.26,0.84,1.8,14.61
216,351,2019,1629654,Carsen,Edwards,Carsen Edwards,PG,70.75,5' 10.75'',72.25,6' 0.25'',199.4,78.0,6' 6'',94.5,7' 10.5'',5.5,8.75,9.0,28.5,34.0,10.53,2.82,3.22,14.0,carsen-edwards,2019,carsen-edwards,4066407,Purdue,30,1042,0.11,1742,2.58,1.26,1.59,11.59
217,352,2014,203929,Melvin,Ejim,Melvin Ejim,SF,77.25,6' 5.25'',79.0,6' 7'',218.5,83.25,6' 11.25'',103.5,8' 7.5'',6.45,8.75,9.25,29.5,35.0,11.55,3.12,3.14,,melvin-ejim,2014,melvin-ejim,51031,Iowa State,30,953,1.32,1737,2.19,2.05,10.06,20.42
218,354,2008,12249,Frank,Elegar,Frank Elegar,PF,79.25,6' 7.25'',80.75,6' 8.75'',210.0,87.25,7' 3.25'',106.0,8' 10'',4.5,,,33.5,37.5,11.86,,3.17,11.0,frank-elegar,2008,frank-elegar,23197,Drexel,6,197,1.81,331,3.01,10.7,7.27,27.24
219,355,2020,1629604,CJ,Elleby,CJ Elleby,SG-SF,77.5,6'5.50'',78.2,6'6.25'',198.6,79.25,6'7.25'',100.5,8'4.50'',4.2,8.75,10.0,30.5,36.5,11.25,2.63,3.25,,cj-elleby,2020,cj-elleby,4397166,Washington State,30,1001,0.67,1792,2.96,2.48,3.99,25.75
220,356,2016,1627740,Henry,Ellenson,Henry Ellenson,PF,82.0,6' 10'',83.5,6' 11.5'',242.0,86.25,7' 2.25'',108.0,9' 0'',11.2,8.5,9.75,,,,,,,henry-ellenson,2016,henry-ellenson,3906522,Marquette,31,1041,0.26,1887,1.38,4.48,8.41,25.88
221,357,2009,201961,Wayne,Ellington,Wayne Ellington,SG,76.25,6' 4.25'',77.25,6' 5.25'',202.4,78.5,6' 6.5'',100.0,8' 4'',5.5,,,31.5,38.0,11.14,,3.2,13.0,wayne-ellington,2009,wayne-ellington,31606,North Carolina,29,877,0.54,1673,1.61,0.31,6.24,11.62
222,360,2016,1627768,Perry,Ellis,Perry Ellis,PF,79.0,6' 7'',80.25,6' 8.25'',217.8,82.25,6' 10.25'',102.0,8' 6'',4.6,8.0,8.5,32.0,38.0,10.73,3.03,3.13,,perry-ellis,2016,perry-ellis,61622,Kansas,32,967,1.61,1674,0.9,1.95,7.96,15.67
223,364,2012,203119,Kim,English,Kim English,SG,76.5,6' 4.5'',77.75,6' 5.75'',192.0,78.5,6' 6.5'',98.0,8' 2'',4.3,8.5,8.75,29.0,36.5,10.59,,3.33,,kim-english,2012,kim-english,41075,Missouri,5,171,0.0,289,1.73,1.93,4.28,10.69
224,366,2014,203898,Tyler,Ennis,Tyler Ennis,PG,73.0,6' 1'',74.5,6' 2.5'',181.5,79.25,6' 7.25'',98.0,8' 2'',6.2,8.25,8.75,29.0,36.0,11.12,2.84,3.3,,tyler-ennis,2014,tyler-ennis,66601,Syracuse,27,979,0.07,1490,4.03,0.7,2.85,10.42
225,372,2009,201936,Tyreke,Evans,Tyreke Evans,PG-SG,76.0,6' 4'',77.25,6' 5.25'',220.6,83.25,6' 11.25'',104.0,8' 8'',7.1,,,28.5,34.0,11.81,,3.17,7.0,tyreke-evans,2009,tyreke-evans,41608,Memphis,34,975,1.07,1675,4.18,2.85,5.84,17.09
226,373,2018,1628980,Jacob,Evans,Jacob Evans,SG-SF,76.25,6' 4.25'',77.5,6' 5.5'',199.6,81.25,6' 9.25'',102.5,8' 6.5'',6.5,9.0,9.25,28.0,35.5,11.11,3.14,3.2,8.0,jacob-evans,2018,jacob-evans,3934621,Cincinnati,34,1048,0.68,1759,2.61,3.92,5.64,13.04
227,374,2018,1629037,Keenan,Evans,Keenan Evans,PG,73.5,6' 1.5'',75.0,6' 3'',183.2,77.25,6' 5.25'',98.0,8' 2'',6.5,8.5,8.0,,,,,,,keenan-evans,2018,keenan-evans,3133629,Texas Tech,31,898,0.78,1541,2.46,1.37,1.69,12.18
228,375,2017,1628393,Jawun,Evans,Jawun Evans,PG,70.75,5' 10.75'',71.5,5' 11.5'',185.2,77.5,6' 5.5'',95.0,7' 11'',9.1,8.0,7.75,27.5,33.5,11.34,3.26,3.21,1.0,jawun-evans,2017,jawun-evans,3912854,Oklahoma State,29,848,0.0,1562,3.26,0.51,3.08,11.15
229,377,2008,201607,Patrick,Ewing Jr.,Patrick Ewing Jr.,SF-PF,78.0,6' 6'',79.25,6' 7.25'',224.0,84.25,7' 0.25'',97.5,8' 1.5'',9.4,,,35.0,42.0,11.77,,3.43,2.0,patrick-ewing-jr,2008,patrick-ewing-jr,15350,Georgetown,61,1321,0.86,2100,2.67,3.61,10.2,15.59
230,380,2012,203105,Festus,Ezeli,Festus Ezeli,C-PF,81.75,6' 9.75'',83.5,6' 11.5'',264.2,89.75,7' 5.75'',108.0,9' 0'',5.5,9.0,10.75,34.0,33.5,12.35,,3.29,18.0,festus-ezeli,2012,festus-ezeli,38505,Vanderbilt,9,212,3.95,328,1.52,12.12,11.98,21.67
231,381,2014,203927,C.J.,Fair,C.J. Fair,SF,78.5,6' 6.5'',80.0,6' 8'',218.1,81.5,6' 9.5'',104.0,8' 8'',5.05,9.0,9.0,27.0,35.0,11.0,3.06,3.32,,cj-fair,2014,cj-fair,51342,Syracuse,27,1026,0.96,1561,2.11,2.68,5.45,16.75
232,382,2019,1629605,Tacko,Fall,Tacko Fall,C,89.25,7' 5.25'',91.0,7' 7'',288.8,98.25,8' 2.25'',122.5,10' 2.5'',6.8,10.5,10.5,22.0,26.5,13.01,3.46,3.78,8.0,tacko-fall,2019,tacko-fall,3904625,UCF,28,711,5.25,1200,0.58,10.2,14.19,23.43
233,383,2011,202702,Kenneth,Faried,Kenneth Faried,PF,78.0,6' 6'',79.5,6' 7.5'',224.6,84.0,7' 0'',108.0,9' 0'',6.3,8.5,10.25,30.5,35.0,11.35,,3.26,16.0,kenneth-faried,2011,kenneth-faried,37289,Morehead State,22,768,3.81,1234,4.05,8.4,22.48,35.13
234,384,2006,200770,Jordan,Farmar,Jordan Farmar,PG,72.75,6' 0.75'',74.0,6' 2'',171.0,75.0,6' 3'',94.5,7' 10.5'',4.4,,,33.5,42.0,11.07,,3.17,11.0,jordan-farmar,2006,jordan-farmar,22165,UCLA,28,853,0.15,1373,2.26,0.86,2.97,9.02
235,386,2010,202324,Derrick,Favors,Derrick Favors,PF,80.75,6' 8.75'',82.25,6' 10.25'',245.2,88.0,7' 4'',110.0,9' 2'',6.5,8.75,9.25,31.5,35.5,11.74,,3.25,14.0,derrick-favors,2010,derrick-favors,45521,Georgia Tech,32,878,3.09,1553,1.87,8.74,13.56,22.45
236,388,2016,1627770,Kay,Felder,Kay Felder,PG,68.25,5' 8.25'',69.5,5' 9.5'',177.2,74.5,6' 2.5'',88.5,7' 4.5'',5.8,8.25,8.5,35.5,44.0,11.52,2.9,3.15,,kay-felder,2016,kay-felder,66810,Oakland,4,148,0.0,266,1.88,0.54,3.35,13.43
